message_id,source,label,text
b3c10aa7833c68e55e3865afbdfdfd2171200bd8b8d797a4091f1004d087f98e,easy_ham,0,"Subject: Re: New Sequences Window
From: Robert Elz <kre@munnari.OZ.AU>

    Date:        Wed, 21 Aug 2002 10:54:46 -0500
    From:        Chris Garrigues <cwg-dated-1030377287.06fa6d@DeepEddy.Com>
    Message-ID:  <1029945287.4797.TMDA@deepeddy.vircio.com>


  | I can't reproduce this error.

For me it is very repeatable... (like every time, without fail).

This is the debug log of the pick happening ...

18:19:03 Pick_It {exec pick +inbox -list -lbrace -lbrace -subject ftp -rbrace -rbrace} {4852-4852 -sequence mercury}
18:19:03 exec pick +inbox -list -lbrace -lbrace -subject ftp -rbrace -rbrace 4852-4852 -sequence mercury
18:19:04 Ftoc_PickMsgs {{1 hit}}
18:19:04 Marking 1 hits
18:19:04 tkerror: syntax error in expression ""int ...

Note, if I run the pick command by hand ...

delta$ pick +inbox -list -lbrace -lbrace -subject ftp -rbrace -rbrace  4852-4852 -sequence mercury
1 hit

That's where the ""1 hit"" comes from (obviously).  The version of nmh I'm
using is ...

delta$ pick -version
pick -- nmh-1.0.4 [compiled on fuchsia.cs.mu.OZ.AU at Sun Mar 17 14:55:56 ICT 2002]

And the relevant part of my .mh_profile ...

delta$ mhparam pick
-seq sel -list


Since the pick command works, the sequence (actually, both of them, the
one that's explicit on the command line, from the search popup, and the
one that comes from .mh_profile) do get created.

kre

ps: this is still using the version of the code form a day ago, I haven't
been able to reach the cvs repository today (local routing issue I think).



_______________________________________________
Exmh-workers mailing list
Exmh-workers@redhat.com
https://listman.redhat.com/mailman/listinfo/exmh-workers"
9f8b61b0348d4312f1c3c130940d7695fa69a3e9ff9bcf21121f23403e3482cb,easy_ham,0,"Subject: [zzzzteana] RE: Alexander
From: Steve Burt <Steve_Burt@cursor-system.com>

Martin A posted:
Tassos Papadopoulos, the Greek sculptor behind the plan, judged that the
 limestone of Mount Kerdylio, 70 miles east of Salonika and not far from the
 Mount Athos monastic community, was ideal for the patriotic sculpture. 
 
 As well as Alexander's granite features, 240 ft high and 170 ft wide, a
 museum, a restored amphitheatre and car park for admiring crowds are
planned
---------------------
So is this mountain limestone or granite?
If it's limestone, it'll weather pretty fast.

------------------------ Yahoo! Groups Sponsor ---------------------~-->
4 DVDs Free +s&p Join Now
http://us.click.yahoo.com/pt6YBB/NXiEAA/mG3HAA/7gSolB/TM
---------------------------------------------------------------------~->

To unsubscribe from this group, send an email to:
forteana-unsubscribe@egroups.com

 

Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/"
b6a4d0a4dc3d1e2b1806c0159941a3d651c6b7e504b2443f483265085cc3992f,easy_ham,0,"Subject: [zzzzteana] Moscow bomber
From: Tim Chapman <timc@2ubh.com>

Man Threatens Explosion In Moscow 

Thursday August 22, 2002 1:40 PM
MOSCOW (AP) - Security officers on Thursday seized an unidentified man who
said he was armed with explosives and threatened to blow up his truck in
front of Russia's Federal Security Services headquarters in Moscow, NTV
television reported.
The officers seized an automatic rifle the man was carrying, then the man
got out of the truck and was taken into custody, NTV said. No other details
were immediately available.
The man had demanded talks with high government officials, the Interfax and
ITAR-Tass news agencies said. Ekho Moskvy radio reported that he wanted to
talk with Russian President Vladimir Putin.
Police and security forces rushed to the Security Service building, within
blocks of the Kremlin, Red Square and the Bolshoi Ballet, and surrounded the
man, who claimed to have one and a half tons of explosives, the news
agencies said. Negotiations continued for about one and a half hours outside
the building, ITAR-Tass and Interfax reported, citing witnesses.
The man later drove away from the building, under police escort, and drove
to a street near Moscow's Olympic Penta Hotel, where authorities held
further negotiations with him, the Moscow police press service said. The
move appeared to be an attempt by security services to get him to a more
secure location. 

------------------------ Yahoo! Groups Sponsor ---------------------~-->
4 DVDs Free +s&p Join Now
http://us.click.yahoo.com/pt6YBB/NXiEAA/mG3HAA/7gSolB/TM
---------------------------------------------------------------------~->

To unsubscribe from this group, send an email to:
forteana-unsubscribe@egroups.com

 

Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/"
57ce4e7971392e99e10429ba41a99035e9e169db7ca263d568d4567c98f7e7eb,easy_ham,0,"Subject: [IRR] Klez: The Virus That  Won't Die
From: Monty Solomon <monty@roscom.com>

Klez: The Virus That Won't Die
 
Already the most prolific virus ever, Klez continues to wreak havoc.

Andrew Brandt
>>From the September 2002 issue of PC World magazine
Posted Thursday, August 01, 2002


The Klez worm is approaching its seventh month of wriggling across 
the Web, making it one of the most persistent viruses ever. And 
experts warn that it may be a harbinger of new viruses that use a 
combination of pernicious approaches to go from PC to PC.

Antivirus software makers Symantec and McAfee both report more than 
2000 new infections daily, with no sign of letup at press time. The 
British security firm MessageLabs estimates that 1 in every 300 
e-mail messages holds a variation of the Klez virus, and says that 
Klez has already surpassed last summer's SirCam as the most prolific 
virus ever.

And some newer Klez variants aren't merely nuisances--they can carry 
other viruses in them that corrupt your data.

...

http://www.pcworld.com/news/article/0,aid,103259,00.asp
_______________________________________________
Irregulars mailing list
Irregulars@tb.tf
http://tb.tf/mailman/listinfo/irregulars"
3d423e38e9507624f71ce3f4eb10858352b5318f003f1928a261148d6a65c9db,easy_ham,0,"Subject: Re: [zzzzteana] Nothing like mama used to make
From: Stewart Smith <Stewart.Smith@ee.ed.ac.uk>

>  in adding cream to spaghetti carbonara, which has the same effect on pasta as
>  making a pizza a deep-pie; 

I just had to jump in here as Carbonara is one of my favourites to make and ask 
what the hell are you supposed to use instead of cream?  I've never seen a 
recipe that hasn't used this.  Personally I use low fat creme fraiche because it 
works quite nicely but the only time I've seen an supposedly authentic recipe 
for carbonara  it was identical to mine (cream, eggs and lots of fresh parmesan) 
except for the creme fraiche.

Stew
-- 
Stewart Smith
Scottish Microelectronics Centre, University of Edinburgh.
http://www.ee.ed.ac.uk/~sxs/


------------------------ Yahoo! Groups Sponsor ---------------------~-->
4 DVDs Free +s&p Join Now
http://us.click.yahoo.com/pt6YBB/NXiEAA/mG3HAA/7gSolB/TM
---------------------------------------------------------------------~->

To unsubscribe from this group, send an email to:
forteana-unsubscribe@egroups.com

 

Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/"
4eded8f0a952a07ecc3725de16e256d10c256fb4a6b638228ce3e6a7d1222e01,easy_ham,0,"Subject: Re: [zzzzteana] Nothing like mama used to make
From: Martin Adamson <martin@srv0.ems.ed.ac.uk>


> I just had to jump in here as Carbonara is one of my favourites to make and 
> ask 
> what the hell are you supposed to use instead of cream? 

Isn't it just basically a mixture of beaten egg and bacon (or pancetta, 
really)? You mix in the raw egg to the cooked pasta and the heat of the pasta 
cooks the egg. That's my understanding.

Martin

------------------------ Yahoo! Groups Sponsor ---------------------~-->
4 DVDs Free +s&p Join Now
http://us.click.yahoo.com/pt6YBB/NXiEAA/mG3HAA/7gSolB/TM
---------------------------------------------------------------------~->

To unsubscribe from this group, send an email to:
forteana-unsubscribe@egroups.com

 

Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/"
91b14bcebb41f5dedc98e6545f652bba2cb672601f9b57dc2729c5d0a56b054b,easy_ham,0,"Subject: [zzzzteana] Playboy wants to go out with a bang
From: Martin Adamson <martin@srv0.ems.ed.ac.uk>

The Scotsman - 22 August 2002

 Playboy wants to go out with a bang 
 
 
 AN AGEING Berlin playboy has come up with an unusual offer to lure women into
 his bed - by promising the last woman he sleeps with an inheritance of 250,000
 (£160,000). 
 
 Rolf Eden, 72, a Berlin disco owner famous for his countless sex partners,
 said he could imagine no better way to die than in the arms of an attractive
 young woman - preferably under 30. 
 
 ""I put it all in my last will and testament - the last woman who sleeps with
 me gets all the money,"" Mr Eden told Bild newspaper. 
 
 ""I want to pass away in the most beautiful moment of my life. First a lot of
 fun with a beautiful woman, then wild sex, a final orgasm - and it will all
 end with a heart attack and then Im gone."" 
 
 Mr Eden, who is selling his nightclub this year, said applications should be
 sent in quickly because of his age. ""It could end very soon,"" he said.


------------------------ Yahoo! Groups Sponsor ---------------------~-->
4 DVDs Free +s&p Join Now
http://us.click.yahoo.com/pt6YBB/NXiEAA/mG3HAA/7gSolB/TM
---------------------------------------------------------------------~->

To unsubscribe from this group, send an email to:
forteana-unsubscribe@egroups.com

 

Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/"
41da39894b6821063396d285d0fc42c35715740b5d09e4ee91767fb68c8133a8,easy_ham,0,"Subject: Re: [zzzzteana] Nothing like mama used to make
From: Stewart Smith <Stewart.Smith@ee.ed.ac.uk>

Martin Adamson wrote:
> 
> Isn't it just basically a mixture of beaten egg and bacon (or pancetta, 
> really)? You mix in the raw egg to the cooked pasta and the heat of the pasta 
> cooks the egg. That's my understanding.
> 

You're probably right, mine's just the same but with the cream added to the 
eggs.  I guess I should try it without.  Actually looking on the internet for a 
recipe I found this one from possibly one of the scariest people I've ever seen, 
and he's a US Congressman:
<http://www.virtualcities.com/ons/me/gov/megvjb1.htm>

That's one of the worst non-smiles ever.

Stew
ps. Apologies if any of the list's Maine residents voted for this man, you won't 
do it again once you've seen this pic.

-- 
Stewart Smith
Scottish Microelectronics Centre, University of Edinburgh.
http://www.ee.ed.ac.uk/~sxs/


------------------------ Yahoo! Groups Sponsor ---------------------~-->
4 DVDs Free +s&p Join Now
http://us.click.yahoo.com/pt6YBB/NXiEAA/mG3HAA/7gSolB/TM
---------------------------------------------------------------------~->

To unsubscribe from this group, send an email to:
forteana-unsubscribe@egroups.com

 

Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/"
659d7e4db999e38bf3a443c658c635303f504bb3893db998d85ffb43d607c94b,easy_ham,0,"Subject: [zzzzteana] Meaningful sentences
From: Martin Adamson <martin@srv0.ems.ed.ac.uk>

The Scotsman

 Thu 22 Aug 2002 

 Meaningful sentences 
 
 Tracey Lawson 
 
 
 If you ever wanted to look like ""one of the most dangerous inmates in prison
 history"", as one judge described Charles Bronson, nows your chance. Bronson -
 the serial hostage taker, not the movie star - has written a health and
 fitness guide in which he shares some of the secrets behind his legendary
 muscle power. 
 
 Solitary Fitness - a title which bears testament to the fact that Bronson, 48,
 has spent 24 of his 28 prison years in solitary confinement - explains how he
 has turned himself into a lean, mean, fitness machine while living 23 hours a
 day in a space just 12 feet by eight feet, on a diet of scrubs grub and at
 virtually no cost. 
 
 The book is aimed at those who want to get fabulously fit without spending a
 fortune on gym memberships, protein supplements or designer trainers, and
 starts with a fierce attack on some of the expensive myths churned out by the
 exercise industry. 
 
 ""I pick up a fitness mag, I start to laugh and I wipe my arse with it,"" is the
 opening paragraph penned by Bronson. ""Its a joke and a big con and they call
 me a criminal!"" You cant help feeling he has a point. 
 
 This is not the first book that Bronson has written from behind bars, having
 already published Birdman Opens His Mind, which features drawings and poems
 created by Bronson while in prison. And he is not the first prisoner to
 discover creative expression while residing at Her Majestys pleasure. 
 
 Jimmy Boyle, the Scots sculptor and novelist, discovered his artistic talents
 when he was sent to Barlinnie Prisons famous special unit, which aimed to
 help inmates put their violent pasts behind them by teaching them how to
 express their emotions artistically. Boyle was sentenced to life for the
 murder of ""Babs"" Rooney in 1967. Once released, he moved to Edinburgh where he
 has become a respected artist. His first novel, Hero of the Underworld, was
 published in 1999 and his autobiography, A Sense of Freedom, was made into an
 award-winning film. 
 
 Hugh Collins was jailed for life in 1977 for the murder of William Mooney in
 Glasgow, and in his first year in Barlinnie prison stabbed three prison
 officers, earning him an extra seven-year sentence. But, after being
 transferred to the same unit that Boyle attended, he learned to sculpt and
 developed an interest in art. He later published Autobiography of a Murderer,
 a frank account of Glasgows criminal culture in the 1960s, which received
 critical praise. 
 
 And Lord Archer doesnt seem to have had trouble continuing to write the books
 that have made him millions while in jail. He recently signed a three-book
 deal with Macmillan publishers worth a reported £10 million, and is no doubt
 scribbling away as we speak. 
 
 So why is it that men like Collins, Bronson and Boyle, who can be so
 destructive towards society on the outside, can become so creative once stuck
 on the inside? Steve Richards, Bronsons publisher, has published many books
 about criminal figures and believes the roots of this phenomenon are both
 pragmatic and profound. 
 
 He says: ""Prison is sometimes the first time some criminals will ever have
 known a stable environment, and this can be the first time they have the
 chance to focus on their creative skills. 
 
 ""It may also be the first time that they have really had the chance of an
 education, if their early years have been hard. It could be the first time
 anyone has offered them the chance to explore their creative talents."" 
 
 However, Richards believes the reasons are also deeper than that. He says:
 ""Once they are behind bars, the cold light of day hits them, and they examine
 the very essence of who they are. 
 
 ""They ask themselves, am I a man who wants to be remembered for violence? Or
 am I a man who can contribute to society, who can be remembered for something
 good?"" 
 
 Bronson - who was born Michael Gordon Peterson, but changed his name to that
 of the Hollywood star of the Death Wish films - has, so far, been remembered
 mainly for things bad. He was originally jailed for seven years for armed
 robbery in 1974, and has had a series of sentences added to his original term
 over the years as a result of attacking people in prison. In 2000 he was
 jailed for life after being convicted of holding a teacher hostage for nearly
 two days during a jail siege. 
 
 Standing five feet ten and a half inches tall and weighing 210lbs, he is
 renowned for his strength. He has bent metal cell doors with his bare hands
 and does up to 3,000 - yes, 3,000 - press-ups a day. As he puts it: ""I can hit
 a man 20 times in four seconds, I can push 132 press ups in 60 seconds."" 
 
 But judging by our current obsession with health and exercise, Solitary
 Fitness might be the book which will see Bronsons face sitting on every
 coffee table in the land. He might be the man to give us the dream body which
 so many so-called fitness gurus promise but fail to motivate us into. Because
 Bronson has learned to use words as powerfully as he can use his fists. 
 
 ""All this crap about high-protein drinks, pills, diets, its just a load of
 bollocks and a multi-million-pound racket,"" he writes, in what can only be
 described as a refreshingly honest style. ""We can all be fat lazy bastards,
 its our choice, Im sick of hearing and reading about excuses, if you stuff
 your face with shit you become shit, thats logical to me."" 
 
 As motivational mantras go, that might be just the kick up the, er, backside
 we all needed. 
 
 
 Solitary Fitness by Charles Bronson is published by Mirage Publishing and will
 be available in bookstores from October at £7.99


------------------------ Yahoo! Groups Sponsor ---------------------~-->
4 DVDs Free +s&p Join Now
http://us.click.yahoo.com/pt6YBB/NXiEAA/mG3HAA/7gSolB/TM
---------------------------------------------------------------------~->

To unsubscribe from this group, send an email to:
forteana-unsubscribe@egroups.com

 

Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/"
b28fd56e81290ebc4199ae73dbf4cfd18fda21d6ffbf914e555c084ff5eebeb4,easy_ham,0,"Subject: [SAtalk] SA CGI Configurator Scripts
From: NOI Administrator <admin@networksonline.com>

I have been trying to research via SA mirrors and search engines if a canned
script exists giving clients access to their user_prefs options via a
web-based CGI interface. Numerous ISPs provide this feature to clients, but
so far I can find nothing. Our configuration uses Amavis-Postfix and ClamAV
for virus filtering and Procmail with SpamAssassin for spam filtering. I
would prefer not to have to write a script myself, but will appreciate any
suggestions.



-------------------------------------------------------
This sf.net email is sponsored by: OSDN - Tired of that same old
cell phone?  Get a new here for FREE!
https://www.inphonic.com/r.asp?r=sourceforge1&refcode1=vs3390
_______________________________________________
Spamassassin-talk mailing list
Spamassassin-talk@lists.sourceforge.net
https://lists.sourceforge.net/lists/listinfo/spamassassin-talk"
